wavelength, flux 
411.900,  0.580 
412.000,  0.751 
412.100,  0.825 
412.200,  0.845 
412.300,  0.739 
412.400,  0.776 
412.500,  0.873 
412.600,  0.711 
412.700,  0.820 
412.800,  0.572 
412.900,  0.698 
413.000,  0.794 
413.100,  0.795 
413.200,  0.552 
413.300,  0.742 
413.400,  0.584 
413.500,  0.690 
413.600,  0.864 
413.700,  0.662 
413.800,  0.784 
413.900,  0.878 
414.000,  0.755 
414.100,  0.853 
414.200,  0.676 
414.300,  0.670 
414.400,  0.500 
414.500,  0.838 
414.600,  0.782 
414.700,  0.864 
414.800,  0.764 
414.900,  0.711 
415.000,  0.635 
415.100,  0.849 
415.200,  0.720 
415.300,  0.867 
415.400,  0.532 
415.500,  0.727 
415.600,  0.776 
415.700,  0.706 
415.800,  0.705 
415.900,  0.776 
416.000,  0.872 
416.100,  0.747 
416.200,  0.713 
416.300,  0.799 
416.400,  0.760 
416.500,  0.775 
416.600,  0.889 
416.700,  0.662 
416.800,  0.754 
416.900,  0.857 
417.000,  0.780 
417.100,  0.802 
417.200,  0.590 
417.300,  0.596 
417.400,  0.690 
417.500,  0.731 
417.600,  0.691 
417.700,  0.682 
417.800,  0.623 
417.900,  0.738 
418.000,  0.842 
418.100,  0.743 
418.200,  0.661 
418.300,  0.745 
418.400,  0.850 
418.500,  0.753 
418.600,  0.745 
418.700,  0.636 
418.800,  0.662 
418.900,  0.730 
419.000,  0.747 
419.100,  0.738 
419.200,  0.731 
419.300,  0.857 
419.400,  0.824 
419.500,  0.633 
419.600,  0.647 
419.700,  0.787 
419.800,  0.665 
419.900,  0.552 
420.000,  0.753 
420.100,  0.681 
420.200,  0.445 
420.300,  0.729 
420.400,  0.723 
420.500,  0.635 
420.600,  0.804 
420.700,  0.651 
420.800,  0.957 
420.900,  0.825 
421.000,  0.663 
421.100,  0.802 
421.200,  0.848 
421.300,  0.775 
421.400,  0.759 
421.500,  0.793 
421.600,  0.494 
421.700,  0.683 
421.800,  0.784 
421.900,  0.714 
422.000,  0.791 
422.100,  0.919 
422.200,  0.766 
422.300,  0.805 
422.400,  0.693 
422.500,  0.661 
422.600,  0.532 
422.700,  0.277 
422.800,  0.741 
422.900,  0.823 
423.000,  0.763 
423.100,  0.863 
423.200,  0.829 
423.300,  0.697 
423.400,  0.728 
423.500,  0.812 
423.600,  0.531 
423.700,  0.703 
423.800,  0.783 
423.900,  0.678 
424.000,  0.610 
424.100,  0.779 
424.200,  0.743 
424.300,  0.636 
424.400,  0.811 
424.500,  0.757 
424.600,  0.834 
424.700,  0.630 
424.800,  0.683 
424.900,  0.707 
425.000,  0.606 
425.100,  0.588 
425.200,  0.845 
425.300,  0.780 
425.400,  0.615 
425.500,  0.705 
425.600,  0.692 
425.700,  0.936 
425.800,  0.730 
425.900,  0.732 
426.000,  0.547 
426.100,  0.637 
426.200,  0.690 
426.300,  0.721 
426.400,  0.711 
426.500,  0.745 
426.600,  0.830 
426.700,  0.745 
426.800,  0.671 
426.900,  0.733 
427.000,  0.573 
427.100,  0.541 
427.200,  0.370 
427.300,  0.709 
427.400,  0.617 
427.500,  0.498 
427.600,  0.743 
427.700,  0.723 
427.800,  0.791 
427.900,  0.817 
428.000,  0.555 
428.100,  0.636 
428.200,  0.708 
428.300,  0.655 
428.400,  0.803 
428.500,  0.613 
428.600,  0.580 
428.700,  0.650 
428.800,  0.730 
428.900,  0.574 
429.000,  0.449 
429.100,  0.563 
429.200,  0.661 
429.300,  0.757 
429.400,  0.678 
429.500,  0.563 
429.600,  0.743 
429.700,  0.490 
429.800,  0.627 
429.900,  0.415 
430.000,  0.443 
430.100,  0.439 
430.200,  0.501 
430.300,  0.418 
430.400,  0.502 
430.500,  0.460 
430.600,  0.546 
430.700,  0.513 
430.800,  0.241 
430.900,  0.433 
431.000,  0.430 
431.100,  0.453 
431.200,  0.516 
431.300,  0.578 
431.400,  0.616 
431.500,  0.620 
431.600,  0.938 
431.700,  0.836 
431.800,  0.928 
431.900,  0.804 
432.000,  0.859 
432.100,  0.696 
432.200,  0.859 
432.300,  0.626 
432.400,  0.485 
432.500,  0.547 
432.600,  0.396 
432.700,  0.668 
432.800,  0.788 
432.900,  0.824 
433.000,  0.765 
433.100,  0.730 
433.200,  0.840 
433.300,  0.744 
433.400,  0.765 
433.500,  0.777 
433.600,  0.855 
433.700,  0.645 
433.800,  0.557 
433.900,  0.561 
434.000,  0.413 
434.100,  0.425 
434.200,  0.632 
434.300,  0.674 
434.400,  0.600 
434.500,  0.745 
434.600,  0.800 
434.700,  0.723 
434.800,  0.653 
434.900,  0.788 
435.000,  0.772 
435.100,  0.693 
435.200,  0.478 
435.300,  0.677 
435.400,  0.833 
435.500,  0.739 
435.600,  0.734 
435.700,  0.847 
435.800,  0.847 
435.900,  0.700 
436.000,  0.669 
436.100,  0.830 
436.200,  0.877 
436.300,  0.716 
436.400,  0.792 
436.500,  0.892 
436.600,  0.847 
436.700,  0.776 
436.800,  0.647 
436.900,  0.895 
437.000,  0.708 
437.100,  0.691 
437.200,  0.860 
437.300,  0.813 
437.400,  0.649 
437.500,  0.709 
437.600,  0.696 
437.700,  0.728 
437.800,  0.812 
437.900,  0.800 
438.000,  0.826 
438.100,  0.796 
438.200,  0.846 
438.300,  0.435 
438.400,  0.461 
438.500,  0.506 
438.600,  0.836 
438.700,  0.727 
438.800,  0.670 
438.900,  0.807 
439.000,  0.647 
439.100,  0.699 
439.200,  0.726 
439.300,  0.803 
439.400,  0.717 
439.500,  0.624 
439.600,  0.757 
439.700,  0.789 
439.800,  0.758 
439.900,  0.831 
440.000,  0.596 
440.100,  0.677 
440.200,  0.839 
440.300,  0.790 
440.400,  0.757 
440.500,  0.523 
440.600,  0.853 
