wavelength, flux, error 
380.000,  0.447,  0.022 
380.100,  0.612,  0.031 
380.200,  0.446,  0.022 
380.300,  0.652,  0.033 
380.400,  0.772,  0.039 
380.500,  0.535,  0.027 
380.600,  0.594,  0.030 
380.700,  0.305,  0.015 
380.800,  0.579,  0.029 
380.900,  0.684,  0.034 
381.000,  0.728,  0.036 
381.100,  0.603,  0.030 
381.200,  0.697,  0.035 
381.300,  0.577,  0.029 
381.400,  0.528,  0.026 
381.500,  0.457,  0.023 
381.600,  0.240,  0.012 
381.700,  0.552,  0.028 
381.800,  0.453,  0.023 
381.900,  0.605,  0.030 
382.000,  0.256,  0.013 
382.100,  0.267,  0.013 
382.200,  0.437,  0.022 
382.300,  0.592,  0.030 
382.400,  0.319,  0.016 
382.500,  0.299,  0.015 
382.600,  0.211,  0.011 
382.700,  0.401,  0.020 
382.800,  0.294,  0.015 
382.900,  0.320,  0.016 
383.000,  0.413,  0.021 
383.100,  0.544,  0.027 
383.200,  0.260,  0.013 
383.300,  0.322,  0.016 
383.400,  0.216,  0.011 
383.500,  0.308,  0.015 
383.600,  0.385,  0.019 
383.700,  0.356,  0.018 
383.800,  0.189,  0.009 
383.900,  0.252,  0.013 
384.000,  0.380,  0.019 
384.100,  0.246,  0.012 
384.200,  0.522,  0.026 
384.300,  0.466,  0.023 
384.400,  0.457,  0.023 
384.500,  0.558,  0.028 
384.600,  0.616,  0.031 
384.700,  0.499,  0.025 
384.800,  0.619,  0.031 
384.900,  0.522,  0.026 
385.000,  0.383,  0.019 
385.100,  0.555,  0.028 
385.200,  0.549,  0.027 
385.300,  0.537,  0.027 
385.400,  0.467,  0.023 
385.500,  0.490,  0.024 
385.600,  0.249,  0.012 
385.700,  0.504,  0.025 
385.800,  0.382,  0.019 
385.900,  0.260,  0.013 
386.000,  0.185,  0.009 
386.100,  0.346,  0.017 
386.200,  0.573,  0.029 
386.300,  0.513,  0.026 
386.400,  0.483,  0.024 
386.500,  0.452,  0.023 
386.600,  0.406,  0.020 
386.700,  0.454,  0.023 
386.800,  0.448,  0.022 
386.900,  0.480,  0.024 
387.000,  0.419,  0.021 
387.100,  0.296,  0.015 
387.200,  0.368,  0.018 
387.300,  0.366,  0.018 
387.400,  0.517,  0.026 
387.500,  0.479,  0.024 
387.600,  0.579,  0.029 
387.700,  0.521,  0.026 
387.800,  0.262,  0.013 
387.900,  0.417,  0.021 
388.000,  0.444,  0.022 
388.100,  0.518,  0.026 
388.200,  0.375,  0.019 
388.300,  0.283,  0.014 
388.400,  0.602,  0.030 
388.500,  0.479,  0.024 
388.600,  0.222,  0.011 
