wavelength, flux, error 
380.000,  0.464,  0.023 
380.100,  0.496,  0.025 
380.200,  0.505,  0.025 
380.300,  0.607,  0.030 
380.400,  0.692,  0.035 
380.500,  0.744,  0.037 
380.600,  0.736,  0.037 
380.700,  0.839,  0.042 
380.800,  0.877,  0.044 
380.900,  0.937,  0.047 
381.000,  0.998,  0.050 
381.100,  0.969,  0.048 
381.200,  0.960,  0.048 
381.300,  0.940,  0.047 
381.400,  1.027,  0.051 
381.500,  0.954,  0.048 
381.600,  0.985,  0.049 
381.700,  1.041,  0.052 
381.800,  0.984,  0.049 
381.900,  1.016,  0.051 
382.000,  0.942,  0.047 
382.100,  0.934,  0.047 
382.200,  0.920,  0.046 
382.300,  0.931,  0.047 
382.400,  0.846,  0.042 
382.500,  0.774,  0.039 
382.600,  0.723,  0.036 
382.700,  0.715,  0.036 
382.800,  0.662,  0.033 
382.900,  0.609,  0.030 
383.000,  0.563,  0.028 
383.100,  0.561,  0.028 
383.200,  0.390,  0.019 
383.300,  0.354,  0.018 
383.400,  0.337,  0.017 
383.500,  0.246,  0.012 
383.600,  0.275,  0.014 
383.700,  0.385,  0.019 
383.800,  0.329,  0.016 
383.900,  0.496,  0.025 
384.000,  0.475,  0.024 
384.100,  0.536,  0.027 
384.200,  0.632,  0.032 
384.300,  0.721,  0.036 
384.400,  0.704,  0.035 
384.500,  0.768,  0.038 
384.600,  0.791,  0.040 
384.700,  0.841,  0.042 
384.800,  0.867,  0.043 
384.900,  0.880,  0.044 
385.000,  0.828,  0.041 
385.100,  0.914,  0.046 
385.200,  0.978,  0.049 
385.300,  0.953,  0.048 
385.400,  0.919,  0.046 
385.500,  0.990,  0.049 
385.600,  0.849,  0.042 
385.700,  1.057,  0.053 
385.800,  0.997,  0.050 
385.900,  0.941,  0.047 
386.000,  0.965,  0.048 
386.100,  0.978,  0.049 
386.200,  1.018,  0.051 
386.300,  0.921,  0.046 
386.400,  0.971,  0.049 
386.500,  0.965,  0.048 
386.600,  1.000,  0.050 
386.700,  0.904,  0.045 
386.800,  0.953,  0.048 
386.900,  0.902,  0.045 
387.000,  0.929,  0.046 
387.100,  0.887,  0.044 
387.200,  0.919,  0.046 
387.300,  0.861,  0.043 
387.400,  0.875,  0.044 
387.500,  0.867,  0.043 
387.600,  0.797,  0.040 
387.700,  0.803,  0.040 
387.800,  0.712,  0.036 
387.900,  0.640,  0.032 
388.000,  0.685,  0.034 
388.100,  0.687,  0.034 
388.200,  0.611,  0.031 
388.300,  0.577,  0.029 
388.400,  0.494,  0.025 
388.500,  0.459,  0.023 
388.600,  0.397,  0.020 
388.700,  0.347,  0.017 
388.800,  0.270,  0.014 
388.900,  0.189,  0.009 
389.000,  0.244,  0.012 
389.100,  0.389,  0.019 
389.200,  0.416,  0.021 
389.300,  0.476,  0.024 
389.400,  0.492,  0.025 
389.500,  0.533,  0.027 
389.600,  0.560,  0.028 
389.700,  0.596,  0.030 
389.800,  0.651,  0.033 
389.900,  0.723,  0.036 
390.000,  0.730,  0.036 
390.100,  0.725,  0.036 
390.200,  0.780,  0.039 
390.300,  0.815,  0.041 
390.400,  0.793,  0.040 
390.500,  0.915,  0.046 
390.600,  0.795,  0.040 
390.700,  0.877,  0.044 
390.800,  0.941,  0.047 
390.900,  0.915,  0.046 
391.000,  0.903,  0.045 
391.100,  0.953,  0.048 
391.200,  0.944,  0.047 
391.300,  0.951,  0.048 
391.400,  0.893,  0.045 
391.500,  0.934,  0.047 
391.600,  1.023,  0.051 
391.700,  1.003,  0.050 
391.800,  0.974,  0.049 
391.900,  0.928,  0.046 
392.000,  0.941,  0.047 
392.100,  0.950,  0.047 
392.200,  1.015,  0.051 
392.300,  0.933,  0.047 
392.400,  0.976,  0.049 
392.500,  1.020,  0.051 
392.600,  1.001,  0.050 
392.700,  0.970,  0.049 
392.800,  0.957,  0.048 
392.900,  1.003,  0.050 
393.000,  0.884,  0.044 
393.100,  0.971,  0.049 
393.200,  0.980,  0.049 
393.300,  0.952,  0.048 
393.400,  0.813,  0.041 
393.500,  0.935,  0.047 
393.600,  0.923,  0.046 
393.700,  1.011,  0.051 
393.800,  0.876,  0.044 
393.900,  0.950,  0.047 
394.000,  1.042,  0.052 
394.100,  0.968,  0.048 
394.200,  1.031,  0.052 
394.300,  0.962,  0.048 
394.400,  0.917,  0.046 
394.500,  0.893,  0.045 
394.600,  0.963,  0.048 
394.700,  0.888,  0.044 
394.800,  0.907,  0.045 
394.900,  0.947,  0.047 
395.000,  0.904,  0.045 
395.100,  0.865,  0.043 
395.200,  0.928,  0.046 
395.300,  0.871,  0.044 
395.400,  0.821,  0.041 
395.500,  0.833,  0.042 
395.600,  0.788,  0.039 
395.700,  0.732,  0.037 
395.800,  0.703,  0.035 
395.900,  0.694,  0.035 
396.000,  0.644,  0.032 
396.100,  0.598,  0.030 
396.200,  0.558,  0.028 
396.300,  0.574,  0.029 
396.400,  0.522,  0.026 
396.500,  0.486,  0.024 
396.600,  0.394,  0.020 
396.700,  0.371,  0.019 
396.800,  0.281,  0.014 
396.900,  0.270,  0.014 
397.000,  0.231,  0.012 
397.100,  0.266,  0.013 
397.200,  0.335,  0.017 
397.300,  0.378,  0.019 
397.400,  0.430,  0.022 
397.500,  0.452,  0.023 
397.600,  0.509,  0.025 
397.700,  0.527,  0.026 
397.800,  0.626,  0.031 
397.900,  0.598,  0.030 
398.000,  0.673,  0.034 
