wavelength, flux, error 
401.200,  0.493,  0.025 
401.300,  0.780,  0.039 
401.400,  0.482,  0.024 
401.500,  0.570,  0.028 
401.600,  0.670,  0.034 
401.700,  0.630,  0.032 
401.800,  0.579,  0.029 
401.900,  0.767,  0.038 
402.000,  0.569,  0.028 
402.100,  0.756,  0.038 
402.200,  0.425,  0.021 
402.300,  0.677,  0.034 
402.400,  0.557,  0.028 
402.500,  0.416,  0.021 
402.600,  0.599,  0.030 
402.700,  0.665,  0.033 
402.800,  0.693,  0.035 
402.900,  0.704,  0.035 
403.000,  0.322,  0.016 
403.100,  0.122,  0.006 
403.200,  0.390,  0.020 
403.300,  0.167,  0.008 
403.400,  0.268,  0.013 
403.500,  0.424,  0.021 
403.600,  0.308,  0.015 
403.700,  0.601,  0.030 
403.800,  0.697,  0.035 
403.900,  0.648,  0.032 
404.000,  0.714,  0.036 
404.100,  0.396,  0.020 
404.200,  0.541,  0.027 
404.300,  0.691,  0.035 
404.400,  0.323,  0.016 
404.500,  0.265,  0.013 
404.600,  0.089,  0.004 
404.700,  0.280,  0.014 
404.800,  0.530,  0.026 
404.900,  0.507,  0.025 
405.000,  0.637,  0.032 
405.100,  0.668,  0.033 
405.200,  0.553,  0.028 
405.300,  0.558,  0.028 
405.400,  0.658,  0.033 
405.500,  0.357,  0.018 
405.600,  0.742,  0.037 
405.700,  0.591,  0.030 
405.800,  0.383,  0.019 
405.900,  0.529,  0.026 
406.000,  0.604,  0.030 
406.100,  0.595,  0.030 
406.200,  0.444,  0.022 
406.300,  0.209,  0.010 
406.400,  0.162,  0.008 
406.500,  0.485,  0.024 
406.600,  0.540,  0.027 
406.700,  0.372,  0.019 
406.800,  0.504,  0.025 
406.900,  0.589,  0.029 
407.000,  0.464,  0.023 
407.100,  0.271,  0.014 
407.200,  0.154,  0.008 
407.300,  0.567,  0.028 
407.400,  0.583,  0.029 
407.500,  0.447,  0.022 
407.600,  0.524,  0.026 
407.700,  0.310,  0.015 
407.800,  0.360,  0.018 
407.900,  0.582,  0.029 
408.000,  0.502,  0.025 
408.100,  0.751,  0.038 
