wavelength, flux 
411.900,  0.791 
412.000,  0.824 
412.100,  0.849 
412.200,  0.864 
412.300,  0.855 
412.400,  0.886 
412.500,  0.891 
412.600,  0.887 
412.700,  0.913 
412.800,  0.826 
412.900,  0.882 
413.000,  0.931 
413.100,  0.869 
413.200,  0.883 
413.300,  0.929 
413.400,  0.945 
413.500,  0.932 
413.600,  0.957 
413.700,  0.932 
413.800,  0.955 
413.900,  0.972 
414.000,  0.965 
414.100,  0.976 
414.200,  0.968 
414.300,  0.946 
414.400,  0.919 
414.500,  0.980 
414.600,  0.955 
414.700,  0.979 
414.800,  0.968 
414.900,  0.961 
415.000,  0.975 
415.100,  0.974 
415.200,  0.984 
415.300,  0.988 
415.400,  0.936 
415.500,  0.948 
415.600,  0.987 
415.700,  0.962 
415.800,  0.966 
415.900,  0.981 
416.000,  0.995 
416.100,  0.977 
416.200,  0.970 
416.300,  0.987 
416.400,  0.938 
416.500,  0.994 
416.600,  0.999 
416.700,  0.954 
416.800,  0.994 
416.900,  0.999 
417.000,  0.996 
417.100,  0.986 
417.200,  0.924 
417.300,  0.929 
417.400,  0.942 
417.500,  1.000 
417.600,  0.957 
417.700,  0.978 
417.800,  0.943 
417.900,  0.931 
418.000,  0.997 
418.100,  0.990 
418.200,  0.957 
418.300,  0.988 
418.400,  0.988 
418.500,  0.971 
418.600,  1.003 
418.700,  0.958 
418.800,  0.950 
418.900,  0.984 
419.000,  0.987 
419.100,  0.969 
419.200,  0.991 
419.300,  1.001 
419.400,  1.000 
419.500,  0.972 
419.600,  0.964 
419.700,  1.000 
419.800,  0.938 
419.900,  0.932 
420.000,  0.994 
420.100,  0.989 
420.200,  0.937 
420.300,  0.996 
420.400,  0.980 
420.500,  0.973 
420.600,  0.987 
420.700,  0.984 
420.800,  1.004 
420.900,  0.993 
421.000,  0.967 
421.100,  1.002 
421.200,  0.999 
421.300,  1.001 
421.400,  0.992 
421.500,  0.977 
421.600,  0.939 
421.700,  0.985 
421.800,  0.979 
421.900,  0.971 
422.000,  0.990 
422.100,  1.003 
422.200,  0.973 
422.300,  0.992 
422.400,  0.980 
422.500,  0.959 
422.600,  0.978 
422.700,  0.865 
422.800,  0.993 
422.900,  0.998 
423.000,  0.997 
423.100,  1.000 
423.200,  0.999 
423.300,  0.909 
423.400,  0.962 
423.500,  0.992 
423.600,  0.947 
423.700,  1.000 
423.800,  0.989 
423.900,  0.955 
424.000,  0.984 
424.100,  0.997 
424.200,  0.953 
424.300,  0.992 
424.400,  0.996 
424.500,  0.975 
424.600,  0.992 
424.700,  0.890 
424.800,  0.992 
424.900,  0.999 
425.000,  0.952 
425.100,  0.942 
425.200,  0.991 
425.300,  0.971 
425.400,  0.954 
425.500,  0.987 
425.600,  0.994 
425.700,  0.998 
425.800,  0.967 
425.900,  0.991 
426.000,  0.938 
426.100,  0.973 
426.200,  0.958 
426.300,  0.974 
426.400,  0.987 
426.500,  0.992 
426.600,  0.992 
426.700,  0.991 
426.800,  0.989 
426.900,  0.969 
427.000,  0.991 
427.100,  0.947 
427.200,  0.922 
427.300,  0.959 
427.400,  0.988 
427.500,  0.955 
427.600,  0.970 
427.700,  0.986 
427.800,  0.968 
427.900,  0.986 
428.000,  0.985 
428.100,  0.984 
428.200,  0.951 
428.300,  0.964 
428.400,  0.964 
428.500,  0.971 
428.600,  0.977 
428.700,  0.979 
428.800,  0.941 
428.900,  0.964 
429.000,  0.872 
429.100,  0.978 
429.200,  0.976 
429.300,  0.978 
429.400,  0.910 
429.500,  0.963 
429.600,  0.966 
429.700,  0.941 
429.800,  0.965 
429.900,  0.913 
430.000,  0.891 
430.100,  0.955 
430.200,  0.897 
430.300,  0.880 
430.400,  0.954 
430.500,  0.939 
430.600,  0.929 
430.700,  0.938 
430.800,  0.838 
430.900,  0.926 
431.000,  0.922 
431.100,  0.927 
431.200,  0.922 
431.300,  0.863 
431.400,  0.838 
431.500,  0.831 
431.600,  0.894 
431.700,  0.869 
431.800,  0.874 
431.900,  0.848 
432.000,  0.851 
432.100,  0.777 
432.200,  0.824 
432.300,  0.812 
432.400,  0.795 
432.500,  0.743 
432.600,  0.707 
432.700,  0.727 
432.800,  0.711 
432.900,  0.692 
433.000,  0.656 
433.100,  0.629 
433.200,  0.610 
433.300,  0.578 
433.400,  0.546 
433.500,  0.512 
433.600,  0.474 
433.700,  0.432 
433.800,  0.380 
433.900,  0.342 
434.000,  0.253 
434.100,  0.264 
434.200,  0.346 
434.300,  0.394 
434.400,  0.431 
434.500,  0.478 
434.600,  0.517 
434.700,  0.552 
434.800,  0.584 
434.900,  0.614 
435.000,  0.646 
435.100,  0.671 
435.200,  0.637 
435.300,  0.714 
435.400,  0.742 
435.500,  0.761 
435.600,  0.786 
435.700,  0.802 
435.800,  0.811 
435.900,  0.832 
436.000,  0.843 
436.100,  0.855 
436.200,  0.866 
436.300,  0.872 
436.400,  0.893 
436.500,  0.900 
436.600,  0.908 
436.700,  0.917 
436.800,  0.868 
436.900,  0.922 
437.000,  0.921 
437.100,  0.930 
437.200,  0.939 
437.300,  0.949 
437.400,  0.921 
437.500,  0.900 
437.600,  0.953 
437.700,  0.959 
437.800,  0.966 
437.900,  0.969 
438.000,  0.966 
438.100,  0.974 
438.200,  0.976 
438.300,  0.953 
438.400,  0.896 
438.500,  0.887 
438.600,  0.982 
438.700,  0.952 
438.800,  0.959 
438.900,  0.988 
439.000,  0.972 
439.100,  0.930 
439.200,  0.989 
439.300,  0.990 
439.400,  0.968 
439.500,  0.918 
