wavelength, flux 
411.900,  0.388 
412.000,  0.588 
412.100,  0.657 
412.200,  0.663 
412.300,  0.585 
412.400,  0.619 
412.500,  0.760 
412.600,  0.560 
412.700,  0.657 
412.800,  0.377 
412.900,  0.566 
413.000,  0.618 
413.100,  0.592 
413.200,  0.285 
413.300,  0.476 
413.400,  0.361 
413.500,  0.472 
413.600,  0.701 
413.700,  0.445 
413.800,  0.606 
413.900,  0.668 
414.000,  0.558 
414.100,  0.651 
414.200,  0.439 
414.300,  0.330 
414.400,  0.214 
414.500,  0.551 
414.600,  0.565 
414.700,  0.666 
414.800,  0.532 
414.900,  0.534 
415.000,  0.422 
415.100,  0.656 
415.200,  0.523 
415.300,  0.664 
415.400,  0.346 
415.500,  0.491 
415.600,  0.597 
415.700,  0.488 
415.800,  0.449 
415.900,  0.640 
416.000,  0.665 
416.100,  0.600 
416.200,  0.546 
416.300,  0.628 
416.400,  0.584 
416.500,  0.518 
416.600,  0.681 
416.700,  0.421 
416.800,  0.539 
416.900,  0.656 
417.000,  0.584 
417.100,  0.630 
417.200,  0.393 
417.300,  0.427 
417.400,  0.522 
417.500,  0.494 
417.600,  0.442 
417.700,  0.542 
417.800,  0.464 
417.900,  0.559 
418.000,  0.601 
418.100,  0.508 
418.200,  0.441 
418.300,  0.557 
418.400,  0.705 
418.500,  0.535 
418.600,  0.542 
418.700,  0.394 
418.800,  0.448 
418.900,  0.559 
419.000,  0.551 
419.100,  0.540 
419.200,  0.502 
419.300,  0.698 
419.400,  0.608 
419.500,  0.419 
419.600,  0.419 
419.700,  0.464 
419.800,  0.446 
419.900,  0.325 
420.000,  0.534 
420.100,  0.448 
420.200,  0.209 
420.300,  0.473 
420.400,  0.511 
420.500,  0.525 
420.600,  0.676 
420.700,  0.509 
420.800,  0.844 
420.900,  0.696 
421.000,  0.445 
421.100,  0.610 
421.200,  0.653 
421.300,  0.541 
421.400,  0.540 
421.500,  0.539 
421.600,  0.316 
421.700,  0.547 
421.800,  0.605 
421.900,  0.570 
422.000,  0.651 
422.100,  0.789 
422.200,  0.572 
422.300,  0.629 
422.400,  0.497 
422.500,  0.411 
422.600,  0.215 
422.700,  0.119 
422.800,  0.393 
422.900,  0.610 
423.000,  0.590 
423.100,  0.745 
423.200,  0.646 
423.300,  0.540 
423.400,  0.564 
423.500,  0.674 
423.600,  0.355 
423.700,  0.531 
423.800,  0.631 
423.900,  0.483 
424.000,  0.466 
424.100,  0.635 
424.200,  0.588 
424.300,  0.517 
424.400,  0.684 
424.500,  0.660 
424.600,  0.744 
424.700,  0.507 
424.800,  0.491 
424.900,  0.543 
425.000,  0.336 
425.100,  0.301 
425.200,  0.642 
425.300,  0.611 
425.400,  0.317 
425.500,  0.419 
425.600,  0.520 
425.700,  0.825 
425.800,  0.626 
425.900,  0.548 
426.000,  0.363 
426.100,  0.410 
426.200,  0.542 
426.300,  0.566 
426.400,  0.562 
426.500,  0.615 
426.600,  0.685 
426.700,  0.596 
426.800,  0.510 
426.900,  0.563 
427.000,  0.351 
427.100,  0.283 
427.200,  0.155 
427.300,  0.421 
427.400,  0.385 
427.500,  0.231 
427.600,  0.547 
427.700,  0.552 
427.800,  0.684 
427.900,  0.685 
428.000,  0.393 
428.100,  0.469 
428.200,  0.528 
428.300,  0.449 
428.400,  0.670 
428.500,  0.471 
428.600,  0.422 
428.700,  0.536 
428.800,  0.600 
428.900,  0.385 
429.000,  0.247 
429.100,  0.417 
429.200,  0.488 
429.300,  0.604 
429.400,  0.443 
429.500,  0.427 
429.600,  0.596 
429.700,  0.387 
429.800,  0.466 
429.900,  0.251 
430.000,  0.294 
430.100,  0.308 
430.200,  0.360 
430.300,  0.292 
430.400,  0.384 
430.500,  0.316 
430.600,  0.363 
430.700,  0.280 
430.800,  0.132 
430.900,  0.262 
431.000,  0.278 
431.100,  0.303 
431.200,  0.346 
431.300,  0.421 
431.400,  0.495 
431.500,  0.448 
431.600,  0.858 
431.700,  0.767 
431.800,  0.851 
431.900,  0.664 
432.000,  0.744 
432.100,  0.576 
432.200,  0.764 
432.300,  0.494 
432.400,  0.317 
432.500,  0.317 
432.600,  0.185 
432.700,  0.454 
432.800,  0.641 
432.900,  0.685 
433.000,  0.630 
433.100,  0.623 
433.200,  0.778 
433.300,  0.633 
433.400,  0.671 
433.500,  0.701 
433.600,  0.901 
433.700,  0.567 
433.800,  0.508 
433.900,  0.515 
434.000,  0.466 
434.100,  0.471 
434.200,  0.654 
434.300,  0.652 
434.400,  0.535 
434.500,  0.688 
434.600,  0.741 
434.700,  0.636 
434.800,  0.497 
434.900,  0.670 
435.000,  0.644 
435.100,  0.545 
435.200,  0.332 
435.300,  0.501 
435.400,  0.711 
435.500,  0.585 
435.600,  0.578 
435.700,  0.745 
435.800,  0.753 
435.900,  0.544 
436.000,  0.532 
436.100,  0.697 
436.200,  0.780 
436.300,  0.551 
436.400,  0.672 
436.500,  0.802 
436.600,  0.747 
436.700,  0.635 
436.800,  0.503 
436.900,  0.828 
437.000,  0.575 
437.100,  0.538 
437.200,  0.729 
437.300,  0.684 
437.400,  0.516 
437.500,  0.621 
437.600,  0.565 
437.700,  0.589 
437.800,  0.698 
437.900,  0.659 
438.000,  0.709 
438.100,  0.613 
438.200,  0.620 
438.300,  0.219 
438.400,  0.227 
438.500,  0.328 
438.600,  0.667 
438.700,  0.590 
438.800,  0.520 
438.900,  0.669 
439.000,  0.468 
439.100,  0.586 
439.200,  0.568 
439.300,  0.678 
439.400,  0.577 
439.500,  0.512 
439.600,  0.647 
439.700,  0.638 
439.800,  0.684 
439.900,  0.695 
440.000,  0.483 
440.100,  0.524 
440.200,  0.743 
440.300,  0.628 
440.400,  0.499 
440.500,  0.278 
440.600,  0.650 
440.700,  0.674 
440.800,  0.442 
440.900,  0.635 
441.000,  0.686 
441.100,  0.746 
441.200,  0.713 
441.300,  0.801 
441.400,  0.634 
441.500,  0.386 
441.600,  0.695 
441.700,  0.590 
441.800,  0.685 
441.900,  0.788 
442.000,  0.734 
442.100,  0.744 
442.200,  0.560 
442.300,  0.631 
442.400,  0.648 
442.500,  0.702 
442.600,  0.620 
442.700,  0.665 
442.800,  0.796 
442.900,  0.802 
443.000,  0.578 
443.100,  0.710 
443.200,  0.803 
443.300,  0.660 
443.400,  0.702 
443.500,  0.485 
443.600,  0.573 
443.700,  0.808 
443.800,  0.707 
443.900,  0.850 
444.000,  0.709 
444.100,  0.660 
444.200,  0.573 
444.300,  0.576 
444.400,  0.582 
444.500,  0.833 
444.600,  0.785 
444.700,  0.688 
444.800,  0.719 
444.900,  0.756 
445.000,  0.669 
445.100,  0.750 
445.200,  0.771 
445.300,  0.620 
445.400,  0.680 
445.500,  0.381 
445.600,  0.547 
445.700,  0.653 
445.800,  0.625 
445.900,  0.591 
446.000,  0.673 
446.100,  0.597 
446.200,  0.507 
446.300,  0.776 
446.400,  0.816 
446.500,  0.655 
446.600,  0.725 
446.700,  0.642 
446.800,  0.758 
446.900,  0.605 
447.000,  0.604 
447.100,  0.705 
447.200,  0.792 
447.300,  0.740 
447.400,  0.786 
447.500,  0.803 
447.600,  0.648 
447.700,  0.869 
447.800,  0.847 
447.900,  0.881 
448.000,  0.606 
448.100,  0.757 
448.200,  0.632 
448.300,  0.682 
448.400,  0.664 
448.500,  0.853 
448.600,  0.810 
448.700,  0.749 
448.800,  0.734 
448.900,  0.729 
449.000,  0.725 
449.100,  0.712 
449.200,  0.856 
449.300,  0.795 
449.400,  0.741 
449.500,  0.652 
449.600,  0.690 
449.700,  0.723 
449.800,  0.801 
449.900,  0.679 
450.000,  0.834 
450.100,  0.763 
450.200,  0.767 
