wavelength, flux 
411.900,  0.298 
412.000,  0.439 
412.100,  0.442 
412.200,  0.506 
412.300,  0.370 
412.400,  0.489 
412.500,  0.676 
412.600,  0.489 
412.700,  0.494 
412.800,  0.239 
412.900,  0.454 
413.000,  0.368 
413.100,  0.245 
413.200,  0.140 
413.300,  0.246 
413.400,  0.283 
413.500,  0.372 
413.600,  0.458 
413.700,  0.314 
413.800,  0.354 
413.900,  0.533 
414.000,  0.390 
414.100,  0.477 
414.200,  0.191 
414.300,  0.099 
414.400,  0.108 
414.500,  0.293 
414.600,  0.369 
414.700,  0.458 
414.800,  0.303 
414.900,  0.480 
415.000,  0.294 
415.100,  0.447 
415.200,  0.428 
415.300,  0.476 
415.400,  0.354 
415.500,  0.339 
415.600,  0.473 
415.700,  0.290 
415.800,  0.447 
415.900,  0.573 
416.000,  0.415 
416.100,  0.543 
416.200,  0.385 
416.300,  0.594 
416.400,  0.432 
416.500,  0.226 
416.600,  0.401 
416.700,  0.293 
416.800,  0.405 
416.900,  0.430 
417.000,  0.339 
417.100,  0.348 
417.200,  0.143 
417.300,  0.286 
417.400,  0.312 
417.500,  0.239 
417.600,  0.289 
417.700,  0.467 
417.800,  0.345 
417.900,  0.492 
418.000,  0.473 
418.100,  0.397 
418.200,  0.319 
418.300,  0.420 
418.400,  0.483 
418.500,  0.294 
418.600,  0.385 
418.700,  0.263 
418.800,  0.291 
418.900,  0.362 
419.000,  0.400 
419.100,  0.330 
419.200,  0.367 
419.300,  0.577 
419.400,  0.440 
419.500,  0.372 
419.600,  0.336 
419.700,  0.343 
419.800,  0.213 
419.900,  0.191 
420.000,  0.277 
420.100,  0.230 
420.200,  0.126 
420.300,  0.249 
420.400,  0.265 
420.500,  0.386 
420.600,  0.410 
420.700,  0.334 
420.800,  0.492 
420.900,  0.451 
421.000,  0.257 
421.100,  0.398 
421.200,  0.359 
421.300,  0.313 
421.400,  0.372 
421.500,  0.308 
421.600,  0.163 
421.700,  0.317 
421.800,  0.217 
421.900,  0.240 
422.000,  0.226 
422.100,  0.183 
422.200,  0.145 
422.300,  0.127 
422.400,  0.104 
422.500,  0.080 
422.600,  0.051 
422.700,  0.028 
422.800,  0.070 
422.900,  0.096 
423.000,  0.119 
423.100,  0.151 
423.200,  0.154 
423.300,  0.195 
423.400,  0.224 
423.500,  0.239 
423.600,  0.209 
423.700,  0.272 
423.800,  0.343 
423.900,  0.301 
424.000,  0.291 
424.100,  0.409 
424.200,  0.366 
424.300,  0.409 
424.400,  0.472 
424.500,  0.472 
424.600,  0.513 
424.700,  0.309 
424.800,  0.360 
424.900,  0.406 
425.000,  0.222 
425.100,  0.149 
425.200,  0.237 
425.300,  0.199 
425.400,  0.078 
425.500,  0.117 
425.600,  0.253 
425.700,  0.381 
425.800,  0.364 
425.900,  0.418 
426.000,  0.228 
426.100,  0.249 
426.200,  0.309 
426.300,  0.360 
426.400,  0.473 
426.500,  0.534 
426.600,  0.414 
426.700,  0.397 
426.800,  0.389 
426.900,  0.332 
427.000,  0.274 
427.100,  0.161 
427.200,  0.096 
427.300,  0.184 
427.400,  0.148 
427.500,  0.075 
427.600,  0.214 
427.700,  0.302 
427.800,  0.389 
427.900,  0.400 
428.000,  0.348 
428.100,  0.376 
428.200,  0.353 
428.300,  0.186 
428.400,  0.430 
428.500,  0.323 
428.600,  0.329 
428.700,  0.378 
428.800,  0.260 
428.900,  0.135 
429.000,  0.088 
429.100,  0.165 
429.200,  0.317 
429.300,  0.368 
429.400,  0.267 
429.500,  0.438 
429.600,  0.389 
429.700,  0.436 
429.800,  0.365 
429.900,  0.139 
430.000,  0.227 
430.100,  0.204 
430.200,  0.235 
430.300,  0.241 
430.400,  0.387 
430.500,  0.349 
430.600,  0.197 
430.700,  0.206 
430.800,  0.096 
430.900,  0.221 
431.000,  0.298 
431.100,  0.461 
431.200,  0.445 
431.300,  0.357 
431.400,  0.461 
431.500,  0.301 
431.600,  0.664 
431.700,  0.727 
431.800,  0.521 
431.900,  0.326 
432.000,  0.626 
432.100,  0.394 
432.200,  0.533 
432.300,  0.489 
432.400,  0.390 
432.500,  0.195 
432.600,  0.117 
432.700,  0.306 
432.800,  0.458 
432.900,  0.635 
433.000,  0.540 
433.100,  0.565 
433.200,  0.674 
433.300,  0.571 
433.400,  0.596 
433.500,  0.717 
433.600,  0.847 
433.700,  0.451 
433.800,  0.379 
433.900,  0.420 
434.000,  0.378 
434.100,  0.514 
434.200,  0.699 
434.300,  0.617 
434.400,  0.450 
434.500,  0.483 
434.600,  0.669 
434.700,  0.512 
434.800,  0.547 
434.900,  0.672 
435.000,  0.739 
435.100,  0.423 
435.200,  0.297 
435.300,  0.424 
435.400,  0.610 
435.500,  0.545 
435.600,  0.649 
435.700,  0.684 
435.800,  0.641 
435.900,  0.537 
436.000,  0.482 
436.100,  0.584 
436.200,  0.695 
436.300,  0.580 
436.400,  0.695 
436.500,  0.793 
436.600,  0.653 
436.700,  0.681 
436.800,  0.442 
436.900,  0.704 
437.000,  0.583 
437.100,  0.402 
437.200,  0.609 
437.300,  0.564 
437.400,  0.481 
437.500,  0.481 
437.600,  0.276 
437.700,  0.480 
437.800,  0.586 
437.900,  0.382 
438.000,  0.528 
438.100,  0.426 
438.200,  0.389 
438.300,  0.166 
438.400,  0.145 
438.500,  0.238 
438.600,  0.473 
438.700,  0.520 
438.800,  0.447 
438.900,  0.513 
439.000,  0.391 
439.100,  0.599 
439.200,  0.531 
439.300,  0.605 
439.400,  0.529 
439.500,  0.422 
439.600,  0.581 
439.700,  0.699 
439.800,  0.641 
439.900,  0.652 
440.000,  0.497 
440.100,  0.439 
440.200,  0.664 
440.300,  0.563 
440.400,  0.323 
440.500,  0.170 
440.600,  0.433 
440.700,  0.525 
440.800,  0.249 
440.900,  0.529 
441.000,  0.644 
441.100,  0.627 
441.200,  0.616 
441.300,  0.703 
441.400,  0.486 
441.500,  0.244 
441.600,  0.546 
441.700,  0.514 
441.800,  0.619 
441.900,  0.712 
442.000,  0.634 
442.100,  0.648 
442.200,  0.440 
442.300,  0.488 
442.400,  0.478 
442.500,  0.397 
442.600,  0.357 
442.700,  0.313 
442.800,  0.547 
442.900,  0.675 
443.000,  0.485 
443.100,  0.591 
443.200,  0.665 
443.300,  0.523 
443.400,  0.393 
443.500,  0.168 
443.600,  0.268 
443.700,  0.661 
443.800,  0.591 
443.900,  0.761 
444.000,  0.626 
444.100,  0.577 
444.200,  0.431 
444.300,  0.521 
444.400,  0.490 
444.500,  0.778 
444.600,  0.775 
444.700,  0.633 
444.800,  0.552 
444.900,  0.613 
445.000,  0.551 
445.100,  0.618 
445.200,  0.613 
445.300,  0.482 
445.400,  0.332 
445.500,  0.148 
445.600,  0.249 
445.700,  0.381 
445.800,  0.467 
445.900,  0.416 
446.000,  0.468 
446.100,  0.453 
446.200,  0.265 
446.300,  0.642 
446.400,  0.697 
446.500,  0.548 
446.600,  0.542 
446.700,  0.527 
446.800,  0.654 
446.900,  0.550 
447.000,  0.532 
447.100,  0.626 
447.200,  0.779 
447.300,  0.679 
447.400,  0.704 
447.500,  0.633 
447.600,  0.514 
447.700,  0.712 
447.800,  0.806 
447.900,  0.807 
448.000,  0.539 
448.100,  0.577 
448.200,  0.437 
448.300,  0.576 
448.400,  0.646 
448.500,  0.765 
448.600,  0.734 
448.700,  0.691 
448.800,  0.671 
448.900,  0.623 
449.000,  0.516 
449.100,  0.716 
449.200,  0.763 
449.300,  0.708 
449.400,  0.605 
449.500,  0.510 
449.600,  0.506 
449.700,  0.398 
449.800,  0.662 
449.900,  0.632 
450.000,  0.756 
450.100,  0.717 
450.200,  0.659 
450.300,  0.868 
450.400,  0.844 
450.500,  0.801 
450.600,  0.714 
450.700,  0.684 
450.800,  0.801 
450.900,  0.787 
451.000,  0.804 
451.100,  0.712 
451.200,  0.695 
451.300,  0.554 
451.400,  0.659 
451.500,  0.713 
451.600,  0.756 
451.700,  0.766 
451.800,  0.425 
451.900,  0.712 
452.000,  0.700 
452.100,  0.785 
452.200,  0.734 
452.300,  0.483 
452.400,  0.772 
452.500,  0.565 
452.600,  0.550 
452.700,  0.349 
452.800,  0.565 
