wavelength, flux, error 
380.000,  0.426,  0.021 
380.100,  0.605,  0.030 
380.200,  0.583,  0.029 
380.300,  0.732,  0.037 
380.400,  0.698,  0.035 
380.500,  0.730,  0.037 
380.600,  0.754,  0.038 
380.700,  0.565,  0.028 
380.800,  0.811,  0.041 
380.900,  0.792,  0.040 
381.000,  0.925,  0.046 
381.100,  0.767,  0.038 
381.200,  0.886,  0.044 
381.300,  0.790,  0.040 
381.400,  0.785,  0.039 
381.500,  0.847,  0.042 
381.600,  0.688,  0.034 
381.700,  0.909,  0.045 
381.800,  0.800,  0.040 
381.900,  0.919,  0.046 
382.000,  0.780,  0.039 
382.100,  0.756,  0.038 
382.200,  0.782,  0.039 
382.300,  0.859,  0.043 
382.400,  0.636,  0.032 
382.500,  0.699,  0.035 
382.600,  0.663,  0.033 
382.700,  0.724,  0.036 
382.800,  0.648,  0.032 
382.900,  0.547,  0.027 
383.000,  0.604,  0.030 
383.100,  0.642,  0.032 
383.200,  0.375,  0.019 
383.300,  0.427,  0.021 
383.400,  0.369,  0.018 
383.500,  0.280,  0.014 
383.600,  0.350,  0.017 
383.700,  0.475,  0.024 
383.800,  0.335,  0.017 
383.900,  0.537,  0.027 
384.000,  0.613,  0.031 
384.100,  0.548,  0.027 
384.200,  0.699,  0.035 
384.300,  0.614,  0.031 
384.400,  0.692,  0.035 
384.500,  0.707,  0.035 
384.600,  0.718,  0.036 
384.700,  0.793,  0.040 
384.800,  0.839,  0.042 
384.900,  0.806,  0.040 
385.000,  0.722,  0.036 
385.100,  0.832,  0.042 
385.200,  0.826,  0.041 
385.300,  0.916,  0.046 
385.400,  0.922,  0.046 
385.500,  0.842,  0.042 
385.600,  0.666,  0.033 
385.700,  0.903,  0.045 
385.800,  0.803,  0.040 
385.900,  0.735,  0.037 
386.000,  0.748,  0.037 
386.100,  0.807,  0.040 
386.200,  0.942,  0.047 
386.300,  0.760,  0.038 
386.400,  0.749,  0.037 
386.500,  0.884,  0.044 
386.600,  0.805,  0.040 
386.700,  0.709,  0.035 
386.800,  0.822,  0.041 
386.900,  0.869,  0.043 
387.000,  0.712,  0.036 
387.100,  0.865,  0.043 
387.200,  0.774,  0.039 
387.300,  0.654,  0.033 
387.400,  0.786,  0.039 
387.500,  0.738,  0.037 
387.600,  0.735,  0.037 
387.700,  0.779,  0.039 
387.800,  0.480,  0.024 
387.900,  0.550,  0.027 
388.000,  0.755,  0.038 
388.100,  0.766,  0.038 
388.200,  0.667,  0.033 
388.300,  0.631,  0.032 
388.400,  0.597,  0.030 
388.500,  0.556,  0.028 
388.600,  0.433,  0.022 
388.700,  0.471,  0.024 
388.800,  0.359,  0.018 
388.900,  0.252,  0.013 
389.000,  0.349,  0.017 
389.100,  0.416,  0.021 
389.200,  0.534,  0.027 
389.300,  0.558,  0.028 
389.400,  0.512,  0.026 
389.500,  0.617,  0.031 
389.600,  0.561,  0.028 
389.700,  0.737,  0.037 
389.800,  0.592,  0.030 
389.900,  0.612,  0.031 
390.000,  0.638,  0.032 
390.100,  0.788,  0.039 
390.200,  0.758,  0.038 
390.300,  0.703,  0.035 
390.400,  0.648,  0.032 
390.500,  0.720,  0.036 
390.600,  0.707,  0.035 
390.700,  0.709,  0.035 
390.800,  0.861,  0.043 
390.900,  0.839,  0.042 
391.000,  0.860,  0.043 
391.100,  0.876,  0.044 
391.200,  0.881,  0.044 
391.300,  0.857,  0.043 
391.400,  0.725,  0.036 
391.500,  0.909,  0.045 
391.600,  0.799,  0.040 
391.700,  0.815,  0.041 
391.800,  0.811,  0.041 
391.900,  0.732,  0.037 
392.000,  0.798,  0.040 
392.100,  0.858,  0.043 
392.200,  0.906,  0.045 
392.300,  0.716,  0.036 
392.400,  0.901,  0.045 
392.500,  0.880,  0.044 
392.600,  0.758,  0.038 
392.700,  0.945,  0.047 
392.800,  0.701,  0.035 
392.900,  0.759,  0.038 
393.000,  0.602,  0.030 
393.100,  0.615,  0.031 
393.200,  0.435,  0.022 
393.300,  0.255,  0.013 
393.400,  0.197,  0.010 
393.500,  0.422,  0.021 
393.600,  0.528,  0.026 
393.700,  0.739,  0.037 
393.800,  0.593,  0.030 
393.900,  0.804,  0.040 
394.000,  0.860,  0.043 
394.100,  0.808,  0.040 
394.200,  0.827,  0.041 
394.300,  0.777,  0.039 
394.400,  0.712,  0.036 
394.500,  0.671,  0.034 
394.600,  0.987,  0.049 
394.700,  0.772,  0.039 
394.800,  0.743,  0.037 
394.900,  0.719,  0.036 
395.000,  0.759,  0.038 
395.100,  0.780,  0.039 
395.200,  0.803,  0.040 
395.300,  0.792,  0.040 
395.400,  0.830,  0.042 
395.500,  0.784,  0.039 
395.600,  0.659,  0.033 
395.700,  0.663,  0.033 
395.800,  0.760,  0.038 
395.900,  0.746,  0.037 
396.000,  0.706,  0.035 
396.100,  0.648,  0.032 
396.200,  0.583,  0.029 
396.300,  0.634,  0.032 
396.400,  0.572,  0.029 
396.500,  0.559,  0.028 
396.600,  0.426,  0.021 
396.700,  0.331,  0.017 
396.800,  0.221,  0.011 
396.900,  0.150,  0.007 
397.000,  0.258,  0.013 
397.100,  0.379,  0.019 
397.200,  0.448,  0.022 
397.300,  0.541,  0.027 
397.400,  0.440,  0.022 
397.500,  0.528,  0.026 
397.600,  0.582,  0.029 
397.700,  0.572,  0.029 
397.800,  0.648,  0.032 
397.900,  0.690,  0.035 
398.000,  0.694,  0.035 
398.100,  0.751,  0.038 
398.200,  0.608,  0.030 
398.300,  0.792,  0.040 
398.400,  0.727,  0.036 
398.500,  0.772,  0.039 
398.600,  0.732,  0.037 
398.700,  0.746,  0.037 
398.800,  0.935,  0.047 
398.900,  0.867,  0.043 
399.000,  0.831,  0.042 
399.100,  0.783,  0.039 
399.200,  0.885,  0.044 
399.300,  0.888,  0.044 
399.400,  0.764,  0.038 
399.500,  0.821,  0.041 
399.600,  0.887,  0.044 
399.700,  0.843,  0.042 
399.800,  0.897,  0.045 
399.900,  0.794,  0.040 
400.000,  0.937,  0.047 
400.100,  0.970,  0.049 
400.200,  0.849,  0.042 
400.300,  0.847,  0.042 
400.400,  0.925,  0.046 
400.500,  0.755,  0.038 
400.600,  0.861,  0.043 
400.700,  0.874,  0.044 
400.800,  0.938,  0.047 
400.900,  0.987,  0.049 
401.000,  0.802,  0.040 
401.100,  0.908,  0.045 
401.200,  0.760,  0.038 
401.300,  0.949,  0.047 
401.400,  0.840,  0.042 
401.500,  0.807,  0.040 
401.600,  0.927,  0.046 
401.700,  0.926,  0.046 
401.800,  0.779,  0.039 
401.900,  0.950,  0.047 
402.000,  0.897,  0.045 
402.100,  0.948,  0.047 
402.200,  0.841,  0.042 
402.300,  0.887,  0.044 
402.400,  0.931,  0.047 
402.500,  0.726,  0.036 
402.600,  0.914,  0.046 
402.700,  0.914,  0.046 
402.800,  0.905,  0.045 
402.900,  0.880,  0.044 
403.000,  0.765,  0.038 
403.100,  0.671,  0.034 
403.200,  0.854,  0.043 
403.300,  0.764,  0.038 
403.400,  0.903,  0.045 
403.500,  0.903,  0.045 
403.600,  0.754,  0.038 
403.700,  0.889,  0.044 
403.800,  1.000,  0.050 
403.900,  0.892,  0.045 
404.000,  0.928,  0.046 
404.100,  0.821,  0.041 
404.200,  0.892,  0.045 
404.300,  0.978,  0.049 
404.400,  0.870,  0.044 
404.500,  0.885,  0.044 
404.600,  0.689,  0.034 
404.700,  0.939,  0.047 
404.800,  1.010,  0.050 
404.900,  0.829,  0.041 
405.000,  0.964,  0.048 
405.100,  0.915,  0.046 
405.200,  0.849,  0.042 
405.300,  0.939,  0.047 
405.400,  0.817,  0.041 
405.500,  0.793,  0.040 
405.600,  0.888,  0.044 
405.700,  0.874,  0.044 
405.800,  0.773,  0.039 
405.900,  0.943,  0.047 
406.000,  0.941,  0.047 
406.100,  0.910,  0.045 
406.200,  0.883,  0.044 
406.300,  0.771,  0.039 
406.400,  0.746,  0.037 
406.500,  0.908,  0.045 
406.600,  0.896,  0.045 
406.700,  0.715,  0.036 
406.800,  0.912,  0.046 
406.900,  0.854,  0.043 
407.000,  0.812,  0.041 
407.100,  0.791,  0.040 
407.200,  0.806,  0.040 
407.300,  0.960,  0.048 
407.400,  0.879,  0.044 
407.500,  0.850,  0.042 
407.600,  0.816,  0.041 
407.700,  0.704,  0.035 
407.800,  0.643,  0.032 
407.900,  0.774,  0.039 
408.000,  0.735,  0.037 
408.100,  0.888,  0.044 
408.200,  0.857,  0.043 
408.300,  0.838,  0.042 
408.400,  0.740,  0.037 
408.500,  0.771,  0.039 
408.600,  0.751,  0.038 
408.700,  0.830,  0.042 
408.800,  0.777,  0.039 
408.900,  0.749,  0.037 
409.000,  0.772,  0.039 
409.100,  0.702,  0.035 
409.200,  0.740,  0.037 
409.300,  0.754,  0.038 
409.400,  0.736,  0.037 
409.500,  0.690,  0.035 
409.600,  0.605,  0.030 
409.700,  0.578,  0.029 
409.800,  0.548,  0.027 
409.900,  0.543,  0.027 
410.000,  0.387,  0.019 
410.100,  0.362,  0.018 
410.200,  0.186,  0.009 
410.300,  0.335,  0.017 
410.400,  0.449,  0.022 
410.500,  0.500,  0.025 
410.600,  0.568,  0.028 
410.700,  0.666,  0.033 
410.800,  0.682,  0.034 
410.900,  0.701,  0.035 
411.000,  0.652,  0.033 
411.100,  0.662,  0.033 
411.200,  0.670,  0.033 
411.300,  0.752,  0.038 
411.400,  0.834,  0.042 
411.500,  0.780,  0.039 
411.600,  0.880,  0.044 
411.700,  0.838,  0.042 
411.800,  0.807,  0.040 
411.900,  0.718,  0.036 
412.000,  0.816,  0.041 
412.100,  0.875,  0.044 
412.200,  0.907,  0.045 
412.300,  0.818,  0.041 
412.400,  0.846,  0.042 
412.500,  0.892,  0.045 
412.600,  0.783,  0.039 
412.700,  0.941,  0.047 
412.800,  0.695,  0.035 
412.900,  0.788,  0.039 
413.000,  0.891,  0.045 
413.100,  0.810,  0.041 
413.200,  0.753,  0.038 
413.300,  0.855,  0.043 
413.400,  0.876,  0.044 
413.500,  0.805,  0.040 
413.600,  0.919,  0.046 
413.700,  0.825,  0.041 
413.800,  0.938,  0.047 
413.900,  0.960,  0.048 
414.000,  0.924,  0.046 
414.100,  0.957,  0.048 
414.200,  0.836,  0.042 
414.300,  0.863,  0.043 
414.400,  0.786,  0.039 
414.500,  0.980,  0.049 
414.600,  0.881,  0.044 
414.700,  0.924,  0.046 
