Source_ID,RA,Dec,G,BpRp
6.52767E+16,56.4352,24.2201,10.393,0.9212
6.98476E+16,56.6141,25.1353,10.402,0.837
6.67371E+16,56.9186,24.3644,10.4023,0.847
6.68095E+16,56.7289,24.7961,10.4084,0.834
6.65034E+16,57.2756,23.781,10.4305,1.0322
6.98116E+16,56.0838,24.796,10.4735,0.8707
6.82969E+16,56.0149,24.504,10.5297,0.9041
6.98409E+16,56.2668,25.2576,10.5468,0.8807
6.50893E+16,55.9073,23.5358,10.5763,0.8666
6.51964E+16,56.2244,23.9211,10.5902,1.0419
6.47702E+16,56.1743,22.4643,10.5909,0.9157
6.83221E+16,56.0581,24.7792,10.6001,0.8874
6.98834E+16,55.9518,25.1899,10.6289,1.0471
6.52321E+16,55.8832,23.6739,10.6411,0.8891
6.51192E+16,55.2103,23.4182,10.6584,0.8932
6.81298E+16,55.1433,23.6824,10.6998,0.9112
6.67209E+16,57.2041,24.2672,10.7059,1.0694
6.68631E+16,57.9186,24.983,10.7063,0.9088
6.92502E+16,53.5076,24.8807,10.7202,0.8998
6.68321E+16,57.0738,25.0476,10.7448,0.9185
6.65012E+16,57.3881,23.7952,10.747,0.8867
5.17425E+16,58.6161,21.3895,10.7659,0.9149
6.50866E+16,56.0026,23.5437,10.8231,0.9838
6.83104E+16,56.0856,24.7727,10.8478,1.1081
6.6582E+16,58.6053,24.3599,10.8503,0.9655
7.02527E+16,56.0641,26.331,10.8698,0.9226
6.67818E+16,56.6185,24.4337,10.8731,0.9607
6.52493E+16,56.0611,24.1019,10.878,1.2813
6.65654E+16,57.5872,24.4665,10.9152,0.9196
6.49286E+16,57.4143,23.2899,10.9377,0.9424
6.49135E+16,56.9506,23.2179,10.9458,0.9448
6.51509E+16,55.366,23.7081,10.9726,0.9606
6.98643E+16,56.3141,25.2893,11.0102,1.0158
7.09414E+16,55.0241,26.1962,11.0226,0.9945
6.52493E+16,56.0613,24.1014,11.0563,1.2912
6.52845E+16,56.4245,24.4313,11.0907,1.0036
6.52893E+16,55.9614,24.2473,11.1088,0.9991
6.65023E+16,57.3503,23.839,11.1145,0.9815
6.39884E+16,56.2817,21.9958,11.1299,1.0912
6.99041E+16,55.8631,25.3874,11.1515,1.0634
6.52477E+16,56.0545,24.0306,11.1672,1.0097
6.4172E+16,57.5889,23.0961,11.1686,1.0254
6.65706E+16,58.3489,24.0648,11.1737,0.9978
6.64992E+16,57.3699,23.712,11.1769,0.9985
6.52751E+16,56.1834,24.231,11.1935,1.0079
6.50724E+16,56.0468,23.3791,11.1939,1.0335
6.52338E+16,55.8935,23.7617,11.2019,1.0578
6.15547E+16,53.2744,22.134,11.2068,0.9996
6.52896E+16,56.0203,24.2753,11.2091,1.0528
7.02428E+16,56.2843,26.2923,11.2254,1.0094
5.16947E+16,59.5902,21.2575,11.2355,1.0231
6.37303E+16,57.9255,21.6682,11.2718,1.0521
6.49797E+16,56.756,23.4947,11.2736,1.0054
6.83035E+16,56.1096,24.5895,11.2828,1.0796
6.81509E+16,54.866,23.8948,11.305,1.0654
6.32899E+16,56.5807,20.8796,11.3102,1.0421
6.53091E+16,59.0464,22.221,11.3199,1.069
