Source_ID,RA,Dec,G,BpRp
6.98924E+16,56.0976,25.3582,15.5001,2.8986
6.67192E+16,57.1664,24.2117,15.502,2.6147
6.52842E+16,56.4558,24.4185,15.5039,2.644
6.81678E+16,55.3621,24.0172,15.5052,3.0002
6.70741E+16,58.9852,25.2998,15.5203,2.7205
7.00976E+16,55.6826,25.5349,15.5275,2.6342
6.55891E+16,58.3155,22.8705,15.5321,2.6986
6.81758E+16,54.9432,23.9812,15.5373,2.6417
6.50565E+16,55.9374,23.0557,15.5383,2.6872
6.46008E+16,54.9342,22.1292,15.5468,2.6199
6.51613E+16,55.5123,23.9316,15.5555,2.709
7.01182E+16,55.476,25.7296,15.5579,2.6319
6.73731E+16,58.0556,26.1434,15.5646,2.6743
6.99627E+16,57.1904,25.7003,15.5707,2.7173
7.10785E+16,55.4503,26.789,15.5814,2.6199
6.68992E+16,58.1308,25.2519,15.5982,2.647
6.83564E+16,55.1669,24.7357,15.6038,2.6467
6.99046E+16,55.8968,25.4085,15.6138,2.6645
6.50407E+16,55.4945,22.9503,15.6158,2.6748
6.66659E+16,57.9951,24.6677,15.6159,2.651
6.68217E+16,56.8458,24.8488,15.6171,2.7824
6.86071E+16,55.0961,25.4964,15.6196,2.9674
6.99834E+16,57.3027,25.7019,15.635,2.9181
6.58237E+16,58.7875,24.0839,15.6466,2.7175
6.8324E+16,55.8006,24.7457,15.6494,2.9633
6.98712E+16,56.6908,25.4582,15.6527,2.7009
6.53E+16,56.1652,24.5288,15.6619,2.7472
6.52976E+16,56.3004,24.5049,15.6649,2.7039
7.02009E+16,55.4953,26.2058,15.6683,2.692
5.17171E+16,59.312,21.5169,15.6707,2.7192
6.86727E+16,54.8056,25.7303,15.6805,2.9924
7.02482E+16,56.1397,26.248,15.6809,2.8131
7.01504E+16,55.8593,26.0417,15.6823,2.7231
6.67338E+16,56.784,24.3066,15.6909,2.7416
6.67794E+16,57.2542,24.9026,15.6948,2.7942
6.50637E+16,55.8517,23.2249,15.6962,1.7411
6.45891E+16,53.9345,22.4526,15.7065,2.6721
6.85805E+16,55.1299,25.1479,15.7091,3.0489
6.46445E+16,55.3334,22.6315,15.7097,2.6998
6.50004E+16,57.0468,23.662,15.7112,2.3947
6.52671E+16,56.239,23.9922,15.7175,2.711
6.49903E+16,56.8672,23.448,15.7226,2.7444
6.37738E+16,58.1903,21.6887,15.7268,2.7599
6.44563E+16,55.6139,22.5734,15.7318,2.9179
6.52166E+16,56.518,23.9278,15.7324,2.7162
6.81474E+16,54.95,23.8489,15.7347,2.9731
6.50006E+16,57.0637,23.7008,15.7357,2.9153
6.65079E+16,57.5091,23.8622,15.7395,2.7263
6.82668E+16,55.7047,24.1709,15.7547,2.7978
6.68183E+16,57.0951,24.8147,15.7618,2.6874
6.70698E+16,58.7419,25.2413,15.7668,2.7282
6.3892E+16,58.2156,22.5256,15.7727,2.7908
6.39594E+16,57.4519,22.18,15.7729,2.6924
6.58644E+16,58.9924,24.5498,15.7758,2.5118
6.99113E+16,55.8923,25.5904,15.7799,2.7809
6.81528E+16,55.2626,23.7225,15.7849,2.7386
6.64515E+16,57.3396,23.6516,15.7862,2.7804
7.01291E+16,55.9029,25.7834,15.7886,2.7681
7.11618E+16,54.9507,27.1894,15.7922,2.7502
6.51799E+16,56.087,23.5609,15.7938,2.7236
6.69112E+16,57.8078,25.3863,15.794,2.7775
6.51811E+16,56.0687,23.6176,15.7946,2.9485
7.00728E+16,56.8775,26.2789,15.8036,2.7275
6.66659E+16,57.9972,24.6662,15.8111,2.7525
6.4796E+16,56.54,22.7102,15.8228,2.9846
7.00194E+16,56.6678,25.7314,15.8232,2.7354
5.16777E+16,59.093,21.1212,15.8289,2.7979
6.5946E+16,60.3004,23.9035,15.8302,3.0459
7.01521E+16,55.9463,26.0764,15.8355,2.7806
6.54376E+16,59.1194,23.1508,15.837,2.5252
6.38264E+16,57.9663,21.8226,15.8414,2.796
6.94094E+16,53.9596,25.7056,15.8459,2.8109
6.77568E+16,54.4852,23.3822,15.8594,2.7756
6.83037E+16,56.0401,24.5894,15.8638,2.7482
6.50969E+16,55.0532,23.1598,15.8687,2.7593
6.4912E+16,56.8495,23.149,15.8904,2.8285
6.67836E+16,56.6126,24.4537,15.897,2.8038
6.41049E+16,57.9609,22.8955,15.9063,2.7891
6.98242E+16,56.1029,24.8647,15.922,3.0222
6.49511E+16,56.6504,23.0713,15.9228,2.8799
6.49996E+16,57.0575,23.633,15.9237,2.7964
7.12077E+16,55.5986,27.7655,15.9272,2.8589
6.51849E+16,55.9047,23.6421,15.9294,3.058
